Sample	Comparative	Candidate
1	1.5	3
2	4	6.9
3	9.2	8
4	10.2	18.5
5	11.2	9
6	12.4	13
7	14.8	19.7
8	14.8	16
9	15.9	21.9
10	16.4	10.8
11	17.6	22.6
12	18.1	15.9
13	18.1	20
14	19.2	14
15	19.6	25.9
16	19.9	21.8
17	20.4	24.5
18	21.2	29.2
19	22	27
20	22.2	24
21	23.4	25.8
22	25.2	22
23	25.5	19.7
24	25.6	33.4
25	26.3	30
26	26.4	28.9
27	27.5	34.3
28	28.2	34.3
29	30.3	35.8
30	31.4	37.8
31	32.9	37.1
32	33.9	40.3
33	34.3	37.1
34	35.3	40
35	38.4	42.2
36	39.2	49.3
37	48.2	41
38	49	55
39	51.3	55
40	52.2	64.6
41	60.2	54.8
42	61.5	64.6
43	78	78.6
44	80.6	91.4
45	84.4	65.7
46	85.3	97.2
47	89	100
48	92.6	103.2
49	94.9	89.6
50	108.6	123.4
51	110.4	115
52	115.6	124.4
53	116.9	138.1
54	122.7	139.2
55	143.6	166.8
56	146.1	143.7
57	146.2	150.8
58	154.5	178.5
59	161.7	183.4
60	167.7	176.1
61	176.6	173.7
62	179.7	180.4
63	188.9	198.9
64	189	199.4
65	197.9	211.1
66	201.7	220.1
67	207.7	218.3
68	209.2	223.4
69	210.5	196.8
70	210.9	223.8
71	214.1	232.2
72	218.6	237.1
73	232.9	247.9
74	235	227
75	237.8	235.3
76	246.1	283
77	252.6	263.5
78	254.9	283.5
79	261.4	272.3
80	262.4	256.6
81	270.1	289.2
82	271.3	265.7
83	273.5	264.5
84	274.2	262.2
85	281.1	271.1
86	297	311.7
87	298.7	296.5
88	326.7	310.2
89	327.1	362.1
90	329.6	368.5
91	332.8	370.6
92	337.4	379.5
93	340.1	358.3
94	364.8	390.6
95	370.1	408.4
96	390.6	371
97	395.7	431.7
98	419.3	438.7
99	421.3	382.3
100	426.3	441.8
101	440.4	455.6
102	443.4	465.8
103	446.2	416.4
104	462.7	480.3
105	467.7	470.7
106	507.4	496.7
107	568.3	595.9
108	599.6	611
109	613.8	622.3
110	633.5	641.3
111	678.6	717.5
112	687.6	714.9
113	695.1	647.3
114	701	725.6
115	708.3	729.5
116	735.6	754.5
117	794.8	768.5
118	937	901.6
119	1031.9	1068
120	1239.3	1279
